Input.label,Input.text,Answer.Q1Answer,Answer.html_output
0,"*knocks on door*
*walks into restaurant*
*goes to sit down*
*waiter comes over* 
""Sorry, we closed early today.""

ONE WEEK LATER

*knocks on door*
*walks into restaurant*
*goes to sit down*
*waiter comes over* 
""Sorry, we closed early today.""

And today, the same thing happened. Frankly, I am appalled at The Village Melt. Closing a restaurant early?!?!!?????? YOU CANT DO THAT. All I wanted was a strawberry milkshake. Disappointed.",no,"<span>*knocks</span> <span>on</span> <span>door*</span> <span>*walks</span> <span>into</span> <span>restaurant*</span> <span>*goes</span> <span>to</span> <span>sit</span> <span>down*</span> <span>*waiter</span> <span>comes</span> <span>over*</span> <span>""Sorry,</span> <span>we</span> <span>closed</span> <span>early</span> <span>today.""</span> <span class=""active"">ONE</span> <span class=""active"">WEEK</span> <span class=""active"">LATER</span> <span>*knocks</span> <span>on</span> <span>door*</span> <span>*walks</span> <span>into</span> <span>restaurant*</span> <span>*goes</span> <span>to</span> <span>sit</span> <span>down*</span> <span>*waiter</span> <span>comes</span> <span>over*</span> <span>""Sorry,</span> <span>we</span> <span>closed</span> <span>early</span> <span>today.""</span> <span>And</span> <span>today,</span> <span>the</span> <span>same</span> <span>thing</span> <span>happened.</span> <span>Frankly,</span> <span>I</span> <span>am</span> <span>appalled</span> <span>at</span> <span>The</span> <span>Village</span> <span>Melt.</span> <span class=""active"">Closing</span> <span>a</span> <span>restaurant</span> <span>early?!?!!??????</span> <span>YOU</span> <span>CANT</span> <span>DO</span> <span>THAT.</span> <span>All</span> <span>I</span> <span>wanted</span> <span>was</span> <span>a</span> <span>strawberry</span> <span>milkshake.</span> <span>Disappointed.</span> <span></span>"
0,"*knocks on door*
*walks into restaurant*
*goes to sit down*
*waiter comes over* 
""Sorry, we closed early today.""

ONE WEEK LATER

*knocks on door*
*walks into restaurant*
*goes to sit down*
*waiter comes over* 
""Sorry, we closed early today.""

And today, the same thing happened. Frankly, I am appalled at The Village Melt. Closing a restaurant early?!?!!?????? YOU CANT DO THAT. All I wanted was a strawberry milkshake. Disappointed.",no,"<span>*knocks</span> <span>on</span> <span>door*</span> <span>*walks</span> <span>into</span> <span>restaurant*</span> <span>*goes</span> <span>to</span> <span>sit</span> <span>down*</span> <span>*waiter</span> <span>comes</span> <span>over*</span> <span>""Sorry,</span> <span>we</span> <span>closed</span> <span>early</span> <span>today.""</span> <span>ONE</span> <span>WEEK</span> <span>LATER</span> <span>*knocks</span> <span>on</span> <span>door*</span> <span>*walks</span> <span>into</span> <span>restaurant*</span> <span>*goes</span> <span>to</span> <span>sit</span> <span>down*</span> <span>*waiter</span> <span>comes</span> <span>over*</span> <span>""Sorry,</span> <span>we</span> <span>closed</span> <span>early</span> <span>today.""</span> <span>And</span> <span>today,</span> <span>the</span> <span>same</span> <span>thing</span> <span>happened.</span> <span>Frankly,</span> <span>I</span> <span>am</span> <span>appalled</span> <span>at</span> <span>The</span> <span>Village</span> <span>Melt.</span> <span>Closing</span> <span>a</span> <span>restaurant</span> <span>early?!?!!??????</span> <span>YOU</span> <span>CANT</span> <span>DO</span> <span>THAT.</span> <span>All</span> <span>I</span> <span>wanted</span> <span>was</span> <span>a</span> <span>strawberry</span> <span>milkshake.</span> <span class=""active"">Disappointed.</span> <span></span>"
0,"*knocks on door*
*walks into restaurant*
*goes to sit down*
*waiter comes over* 
""Sorry, we closed early today.""

ONE WEEK LATER

*knocks on door*
*walks into restaurant*
*goes to sit down*
*waiter comes over* 
""Sorry, we closed early today.""

And today, the same thing happened. Frankly, I am appalled at The Village Melt. Closing a restaurant early?!?!!?????? YOU CANT DO THAT. All I wanted was a strawberry milkshake. Disappointed.",no,"<span>*knocks</span> <span>on</span> <span>door*</span> <span>*walks</span> <span>into</span> <span>restaurant*</span> <span>*goes</span> <span>to</span> <span>sit</span> <span>down*</span> <span>*waiter</span> <span>comes</span> <span>over*</span> <span>""Sorry,</span> <span>we</span> <span>closed</span> <span>early</span> <span>today.""</span> <span>ONE</span> <span>WEEK</span> <span>LATER</span> <span>*knocks</span> <span>on</span> <span>door*</span> <span>*walks</span> <span>into</span> <span>restaurant*</span> <span>*goes</span> <span>to</span> <span>sit</span> <span>down*</span> <span>*waiter</span> <span>comes</span> <span>over*</span> <span>""Sorry,</span> <span>we</span> <span>closed</span> <span>early</span> <span>today.""</span> <span>And</span> <span>today,</span> <span>the</span> <span>same</span> <span>thing</span> <span>happened.</span> <span>Frankly,</span> <span>I</span> <span>am</span> <span>appalled</span> <span>at</span> <span>The</span> <span>Village</span> <span>Melt.</span> <span>Closing</span> <span>a</span> <span>restaurant</span> <span>early?!?!!??????</span> <span>YOU</span> <span>CANT</span> <span>DO</span> <span>THAT.</span> <span>All</span> <span>I</span> <span>wanted</span> <span>was</span> <span>a</span> <span>strawberry</span> <span>milkshake.</span> <span class=""active"">Disappointed.</span> <span></span>"
0,"$18.95 per person....Was really hungry for lunch and didn't want to leave the hotel mid day in Vegas.  Not worth it! Furr's cafeteria or hometown buffet is actually better than this place....REALLY! Don't eat here! Their ""chinese food line was mostly salt; the prime rib is tougher than the sole of my shoe. You'd probably enjoy fastfood better in this instance.",no,"<span>$18.95</span> <span>per</span> <span>person....Was</span> <span>really</span> <span>hungry</span> <span>for</span> <span>lunch</span> <span>and</span> <span>didn't</span> <span>want</span> <span>to</span> <span>leave</span> <span>the</span> <span>hotel</span> <span>mid</span> <span>day</span> <span>in</span> <span>Vegas.</span> <span class=""active"">Not</span> <span class=""active"">worth</span> <span>it!</span> <span>Furr's</span> <span>cafeteria</span> <span>or</span> <span>hometown</span> <span>buffet</span> <span>is</span> <span>actually</span> <span>better</span> <span>than</span> <span>this</span> <span>place....REALLY!</span> <span class=""active"">Don't</span> <span class=""active"">eat</span> <span>here!</span> <span>Their</span> <span>""chinese</span> <span>food</span> <span>line</span> <span>was</span> <span class=""active"">mostly</span> <span class=""active"">salt;</span> <span>the</span> <span>prime</span> <span>rib</span> <span>is</span> <span class=""active"">tougher</span> <span>than</span> <span>the</span> <span>sole</span> <span>of</span> <span>my</span> <span>shoe.</span> <span>You'd</span> <span>probably</span> <span>enjoy</span> <span>fastfood</span> <span>better</span> <span>in</span> <span>this</span> <span>instance.</span> <span></span>"
0,"$18.95 per person....Was really hungry for lunch and didn't want to leave the hotel mid day in Vegas.  Not worth it! Furr's cafeteria or hometown buffet is actually better than this place....REALLY! Don't eat here! Their ""chinese food line was mostly salt; the prime rib is tougher than the sole of my shoe. You'd probably enjoy fastfood better in this instance.",no,"<span>$18.95</span> <span>per</span> <span>person....Was</span> <span>really</span> <span>hungry</span> <span>for</span> <span>lunch</span> <span>and</span> <span>didn't</span> <span>want</span> <span>to</span> <span>leave</span> <span>the</span> <span>hotel</span> <span>mid</span> <span>day</span> <span>in</span> <span>Vegas.</span> <span class=""active"">Not</span> <span class=""active"">worth</span> <span class=""active"">it!</span> <span>Furr's</span> <span>cafeteria</span> <span>or</span> <span>hometown</span> <span>buffet</span> <span>is</span> <span>actually</span> <span>better</span> <span>than</span> <span>this</span> <span>place....REALLY!</span> <span class=""active"">Don't</span> <span class=""active"">eat</span> <span class=""active"">here!</span> <span>Their</span> <span>""chinese</span> <span>food</span> <span>line</span> <span>was</span> <span>mostly</span> <span>salt;</span> <span>the</span> <span>prime</span> <span class=""active"">rib</span> <span class=""active"">is</span> <span class=""active"">tougher</span> <span>than</span> <span>the</span> <span>sole</span> <span>of</span> <span>my</span> <span>shoe.</span> <span>You'd</span> <span>probably</span> <span>enjoy</span> <span>fastfood</span> <span>better</span> <span>in</span> <span>this</span> <span>instance.</span> <span></span>"
0,"$18.95 per person....Was really hungry for lunch and didn't want to leave the hotel mid day in Vegas.  Not worth it! Furr's cafeteria or hometown buffet is actually better than this place....REALLY! Don't eat here! Their ""chinese food line was mostly salt; the prime rib is tougher than the sole of my shoe. You'd probably enjoy fastfood better in this instance.",no,"<span>$18.95</span> <span>per</span> <span>person....Was</span> <span>really</span> <span>hungry</span> <span>for</span> <span>lunch</span> <span>and</span> <span>didn't</span> <span>want</span> <span>to</span> <span>leave</span> <span>the</span> <span>hotel</span> <span>mid</span> <span>day</span> <span>in</span> <span>Vegas.</span> <span>Not</span> <span>worth</span> <span>it!</span> <span>Furr's</span> <span>cafeteria</span> <span>or</span> <span>hometown</span> <span>buffet</span> <span>is</span> <span>actually</span> <span>better</span> <span>than</span> <span>this</span> <span class="""">place....REALLY!</span> <span class=""active"">Don't</span> <span class=""active"">eat</span> <span>here!</span> <span>Their</span> <span>""chinese</span> <span>food</span> <span>line</span> <span>was</span> <span class=""active"">mostly</span> <span class=""active"">salt;</span> <span>the</span> <span>prime</span> <span>rib</span> <span>is</span> <span>tougher</span> <span>than</span> <span>the</span> <span>sole</span> <span>of</span> <span>my</span> <span>shoe.</span> <span>You'd</span> <span>probably</span> <span>enjoy</span> <span>fastfood</span> <span>better</span> <span>in</span> <span>this</span> <span>instance.</span> <span></span>"
0,"1. Happy hour pricing is only available in the upstairs area where they don't allow anyone under 21 (even though there is family friendly table seating) or on the patio with the broken heater. 

2. Food is not even that great. 

3. The indoor decor is outdated and run down. 

There are better spots in the area to eat. I recommend to skip this place all together.",no,"<span>1.</span> <span>Happy</span> <span>hour</span> <span>pricing</span> <span>is</span> <span>only</span> <span>available</span> <span>in</span> <span>the</span> <span>upstairs</span> <span>area</span> <span>where</span> <span>they</span> <span>don't</span> <span>allow</span> <span>anyone</span> <span>under</span> <span>21</span> <span>(even</span> <span>though</span> <span>there</span> <span>is</span> <span>family</span> <span>friendly</span> <span>table</span> <span>seating)</span> <span>or</span> <span>on</span> <span>the</span> <span>patio</span> <span>with</span> <span>the</span> <span>broken</span> <span>heater.</span> <span>2.</span> <span class=""active"">Food</span> <span class=""active"">is</span> <span class=""active"">not</span> <span>even</span> <span class=""active"">that</span> <span class=""active"">great.</span> <span>3.</span> <span>The</span> <span>indoor</span> <span>decor</span> <span>is</span> <span class=""active"">outdated</span> <span>and</span> <span>run</span> <span>down.</span> <span>There</span> <span>are</span> <span>better</span> <span>spots</span> <span>in</span> <span>the</span> <span>area</span> <span>to</span> <span>eat.</span> <span>I</span> <span class=""active"">recommend</span> <span class=""active"">to</span> <span class=""active"">skip</span> <span>this</span> <span>place</span> <span>all</span> <span>together.</span> <span></span>"
0,"1. Happy hour pricing is only available in the upstairs area where they don't allow anyone under 21 (even though there is family friendly table seating) or on the patio with the broken heater. 

2. Food is not even that great. 

3. The indoor decor is outdated and run down. 

There are better spots in the area to eat. I recommend to skip this place all together.",no,"<span>1.</span> <span>Happy</span> <span>hour</span> <span>pricing</span> <span>is</span> <span>only</span> <span>available</span> <span>in</span> <span>the</span> <span>upstairs</span> <span>area</span> <span>where</span> <span>they</span> <span>don't</span> <span>allow</span> <span>anyone</span> <span>under</span> <span>21</span> <span>(even</span> <span>though</span> <span>there</span> <span>is</span> <span>family</span> <span>friendly</span> <span>table</span> <span>seating)</span> <span>or</span> <span>on</span> <span>the</span> <span>patio</span> <span>with</span> <span>the</span> <span>broken</span> <span>heater.</span> <span>2.</span> <span>Food</span> <span>is</span> <span>not</span> <span>even</span> <span>that</span> <span>great.</span> <span>3.</span> <span>The</span> <span>indoor</span> <span>decor</span> <span>is</span> <span>outdated</span> <span>and</span> <span>run</span> <span>down.</span> <span>There</span> <span>are</span> <span>better</span> <span>spots</span> <span>in</span> <span>the</span> <span>area</span> <span>to</span> <span>eat.</span> <span>I</span> <span class=""active"">recommend</span> <span class=""active"">to</span> <span class=""active"">skip</span> <span class=""active"">this</span> <span class=""active"">place</span> <span>all</span> <span>together.</span> <span></span>"
0,"1. Happy hour pricing is only available in the upstairs area where they don't allow anyone under 21 (even though there is family friendly table seating) or on the patio with the broken heater. 

2. Food is not even that great. 

3. The indoor decor is outdated and run down. 

There are better spots in the area to eat. I recommend to skip this place all together.",no,"<span>1.</span> <span>Happy</span> <span>hour</span> <span>pricing</span> <span>is</span> <span>only</span> <span>available</span> <span>in</span> <span>the</span> <span>upstairs</span> <span>area</span> <span>where</span> <span>they</span> <span>don't</span> <span>allow</span> <span>anyone</span> <span>under</span> <span>21</span> <span>(even</span> <span>though</span> <span>there</span> <span>is</span> <span>family</span> <span>friendly</span> <span>table</span> <span>seating)</span> <span>or</span> <span>on</span> <span>the</span> <span>patio</span> <span>with</span> <span>the</span> <span>broken</span> <span>heater.</span> <span>2.</span> <span class=""active"">Food</span> <span class=""active"">is</span> <span class=""active"">not</span> <span class=""active"">even</span> <span class=""active"">that</span> <span class=""active"">great.</span> <span>3.</span> <span>The</span> <span>indoor</span> <span class=""active"">decor</span> <span>is</span> <span class=""active"">outdated</span> <span>and</span> <span class=""active"">run</span> <span class=""active"">down.</span> <span>There</span> <span>are</span> <span>better</span> <span>spots</span> <span>in</span> <span>the</span> <span>area</span> <span>to</span> <span>eat.</span> <span>I</span> <span>recommend</span> <span>to</span> <span class=""active"">skip</span> <span class=""active"">this</span> <span class=""active"">place</span> <span>all</span> <span>together.</span> <span></span>"
0,20 Minute wait per dish. Never coming here again. Food is decent but if it takes this long who is going to wait. I got sick of waiting I left in the middle and went to a different restaurant. You CANNOT make people wait this long and expect people to be happy.,no,"<span>20</span> <span>Minute</span> <span>wait</span> <span>per</span> <span>dish.</span> <span class=""active"">Never</span> <span class=""active"">coming</span> <span class=""active"">here</span> <span class=""active"">again.</span> <span>Food</span> <span>is</span> <span>decent</span> <span>but</span> <span>if</span> <span>it</span> <span>takes</span> <span>this</span> <span>long</span> <span>who</span> <span>is</span> <span>going</span> <span>to</span> <span>wait.</span> <span>I</span> <span>got</span> <span>sick</span> <span>of</span> <span>waiting</span> <span>I</span> <span>left</span> <span>in</span> <span>the</span> <span>middle</span> <span>and</span> <span>went</span> <span>to</span> <span>a</span> <span>different</span> <span>restaurant.</span> <span>You</span> <span>CANNOT</span> <span>make</span> <span>people</span> <span>wait</span> <span>this</span> <span>long</span> <span>and</span> <span>expect</span> <span>people</span> <span>to</span> <span>be</span> <span>happy.</span> <span></span>"
