Input.label,Input.text,Answer.Q1Answer,Answer.html_output
0,"5/9/2013-  Terrible Service and food!
We had the waitress who wore the hot pink lipstick.  After we were seated took hot pink, 25 minutes to come back to take our order.  I ordered the grilled marinated shrimp-just ok.  My husband ordered the lamb sandwich, next remove the fat and use more meat and the flatbread was stale.  This was not worth the one hour and twenty minutes.  We will never come back again and would not recommend the to anyone.   You are over rated.  Yuck! 
PS the free Thursday crepe dessert (apple streusel) was never served to us as ordered.",no,"<span>5/9/2013-</span> <span class=""active"">Terrible</span> <span class=""active"">Service</span> <span class=""active"">and</span> <span class=""active"">food!</span> <span>We</span> <span>had</span> <span>the</span> <span>waitress</span> <span>who</span> <span>wore</span> <span>the</span> <span>hot</span> <span>pink</span> <span>lipstick.</span> <span>After</span> <span>we</span> <span>were</span> <span>seated</span> <span>took</span> <span>hot</span> <span>pink,</span> <span class=""active"">25</span> <span class=""active"">minutes</span> <span>to</span> <span>come</span> <span>back</span> <span class=""active"">to</span> <span class=""active"">take</span> <span class=""active"">our</span> <span class=""active"">order.</span> <span>I</span> <span>ordered</span> <span>the</span> <span>grilled</span> <span>marinated</span> <span>shrimp-just</span> <span>ok.</span> <span>My</span> <span>husband</span> <span>ordered</span> <span>the</span> <span>lamb</span> <span>sandwich,</span> <span>next</span> <span>remove</span> <span>the</span> <span>fat</span> <span>and</span> <span>use</span> <span>more</span> <span>meat</span> <span>and</span> <span>the</span> <span class=""active"">flatbread</span> <span class=""active"">was</span> <span class=""active"">stale.</span> <span>This</span> <span>was</span> <span class=""active"">not</span> <span class=""active"">worth</span> <span>the</span> <span>one</span> <span>hour</span> <span>and</span> <span>twenty</span> <span>minutes.</span> <span>We</span> <span>will</span> <span class=""active"">never</span> <span class=""active"">come</span> <span class=""active"">back</span> <span>again</span> <span>and</span> <span class=""active"">would</span> <span class=""active"">not</span> <span class=""active"">recommend</span> <span>the</span> <span>to</span> <span>anyone.</span> <span>You</span> <span>are</span> <span class=""active"">over</span> <span class=""active"">rated.</span> <span class=""active"">Yuck!</span> <span>PS</span> <span>the</span> <span>free</span> <span>Thursday</span> <span>crepe</span> <span>dessert</span> <span>(apple</span> <span>streusel)</span> <span>was</span> <span>never</span> <span>served</span> <span>to</span> <span>us</span> <span>as</span> <span>ordered.</span> <span></span>"
0,"5/9/2013-  Terrible Service and food!
We had the waitress who wore the hot pink lipstick.  After we were seated took hot pink, 25 minutes to come back to take our order.  I ordered the grilled marinated shrimp-just ok.  My husband ordered the lamb sandwich, next remove the fat and use more meat and the flatbread was stale.  This was not worth the one hour and twenty minutes.  We will never come back again and would not recommend the to anyone.   You are over rated.  Yuck! 
PS the free Thursday crepe dessert (apple streusel) was never served to us as ordered.",no,"<span>5/9/2013-</span> <span class=""active"">Terrible</span> <span class=""active"">Service</span> <span class=""active"">and</span> <span class=""active"">food!</span> <span>We</span> <span>had</span> <span>the</span> <span>waitress</span> <span>who</span> <span>wore</span> <span>the</span> <span>hot</span> <span>pink</span> <span>lipstick.</span> <span>After</span> <span>we</span> <span>were</span> <span>seated</span> <span>took</span> <span>hot</span> <span>pink,</span> <span class=""active"">25</span> <span class=""active"">minutes</span> <span class=""active"">to</span> <span class=""active"">come</span> <span class=""active"">back</span> <span class=""active"">to</span> <span class=""active"">take</span> <span class=""active"">our</span> <span class=""active"">order.</span> <span>I</span> <span>ordered</span> <span>the</span> <span>grilled</span> <span>marinated</span> <span class=""active"">shrimp-just</span> <span class=""active"">ok.</span> <span>My</span> <span>husband</span> <span>ordered</span> <span>the</span> <span>lamb</span> <span>sandwich,</span> <span>next</span> <span>remove</span> <span>the</span> <span>fat</span> <span>and</span> <span>use</span> <span>more</span> <span>meat</span> <span>and</span> <span>the</span> <span>flatbread</span> <span>was</span> <span class=""active"">stale.</span> <span>This</span> <span>was</span> <span class=""active"">not</span> <span class=""active"">worth</span> <span class=""active"">the</span> <span class=""active"">one</span> <span class=""active"">hour</span> <span class=""active"">and</span> <span class=""active"">twenty</span> <span class=""active"">minutes.</span> <span>We</span> <span class=""active"">will</span> <span class=""active"">never</span> <span class=""active"">come</span> <span class=""active"">back</span> <span class=""active"">again</span> <span>and</span> <span>would</span> <span class=""active"">not</span> <span class=""active"">recommend</span> <span>the</span> <span class=""active"">to</span> <span class=""active"">anyone.</span> <span>You</span> <span>are</span> <span class=""active"">over</span> <span class=""active"">rated.</span> <span class=""active"">Yuck!</span> <span>PS</span> <span>the</span> <span>free</span> <span>Thursday</span> <span>crepe</span> <span>dessert</span> <span>(apple</span> <span>streusel)</span> <span>was</span> <span class=""active"">never</span> <span class=""active"">served</span> <span class=""active"">to</span> <span class=""active"">us</span> <span class=""active"">as</span> <span class=""active"">ordered.</span> <span></span>"
0,"5/9/2013-  Terrible Service and food!
We had the waitress who wore the hot pink lipstick.  After we were seated took hot pink, 25 minutes to come back to take our order.  I ordered the grilled marinated shrimp-just ok.  My husband ordered the lamb sandwich, next remove the fat and use more meat and the flatbread was stale.  This was not worth the one hour and twenty minutes.  We will never come back again and would not recommend the to anyone.   You are over rated.  Yuck! 
PS the free Thursday crepe dessert (apple streusel) was never served to us as ordered.",no,"<span>5/9/2013-</span> <span class=""active"">Terrible</span> <span class=""active"">Service</span> <span>and</span> <span class=""active"">food!</span> <span>We</span> <span>had</span> <span>the</span> <span>waitress</span> <span>who</span> <span>wore</span> <span>the</span> <span>hot</span> <span>pink</span> <span>lipstick.</span> <span>After</span> <span>we</span> <span>were</span> <span>seated</span> <span>took</span> <span>hot</span> <span>pink,</span> <span>25</span> <span>minutes</span> <span>to</span> <span>come</span> <span>back</span> <span>to</span> <span>take</span> <span>our</span> <span>order.</span> <span>I</span> <span>ordered</span> <span>the</span> <span>grilled</span> <span>marinated</span> <span class=""active"">shrimp-just</span> <span class=""active"">ok.</span> <span>My</span> <span>husband</span> <span>ordered</span> <span>the</span> <span>lamb</span> <span>sandwich,</span> <span>next</span> <span class=""active"">remove</span> <span>the</span> <span class=""active"">fat</span> <span>and</span> <span class=""active"">use</span> <span class=""active"">more</span> <span class=""active"">meat</span> <span>and</span> <span>the</span> <span class=""active"">flatbread</span> <span>was</span> <span class=""active"">stale.</span> <span>This</span> <span>was</span> <span class=""active"">not</span> <span class=""active"">worth</span> <span>the</span> <span class=""active"">one</span> <span class=""active"">hour</span> <span>and</span> <span class=""active"">twenty</span> <span class=""active"">minutes.</span> <span>We</span> <span>will</span> <span class=""active"">never</span> <span class=""active"">come</span> <span class=""active"">back</span> <span class=""active"">again</span> <span>and</span> <span class=""active"">would</span> <span class=""active"">not</span> <span class=""active"">recommend</span> <span>the</span> <span>to</span> <span>anyone.</span> <span>You</span> <span>are</span> <span class=""active"">over</span> <span class=""active"">rated.</span> <span class=""active"">Yuck!</span> <span>PS</span> <span>the</span> <span>free</span> <span>Thursday</span> <span>crepe</span> <span>dessert</span> <span>(apple</span> <span>streusel)</span> <span class=""active"">was</span> <span class=""active"">never</span> <span class=""active"">served</span> <span>to</span> <span>us</span> <span class=""active"">as</span> <span class=""active"">ordered.</span> <span></span>"
0,"A case of the least evil. Soup for the pho is great but they really rip you off on the meat.  Last time, i ordered the deluxe, the $12 pho with all of the above expecting what i thought i paid for. One piece of each meat.  And I mean one.  I love the broth don't get me wrong, but there needs to be some sort of reasonable proportion and paying $12 for just straight soup and noodles doesn't do it for me. 

Rip off, but what other choice do we have? Pho in pittsburgh as a whole is awful.",no,"<span>A</span> <span>case</span> <span>of</span> <span>the</span> <span>least</span> <span>evil.</span> <span>Soup</span> <span>for</span> <span>the</span> <span>pho</span> <span>is</span> <span>great</span> <span>but</span> <span>they</span> <span>really</span> <span class=""active"">rip</span> <span class=""active"">you</span> <span class=""active"">off</span> <span>on</span> <span>the</span> <span>meat.</span> <span>Last</span> <span>time,</span> <span>i</span> <span>ordered</span> <span>the</span> <span>deluxe,</span> <span>the</span> <span>$12</span> <span>pho</span> <span>with</span> <span>all</span> <span>of</span> <span>the</span> <span>above</span> <span>expecting</span> <span>what</span> <span>i</span> <span>thought</span> <span>i</span> <span>paid</span> <span>for.</span> <span>One</span> <span>piece</span> <span>of</span> <span>each</span> <span>meat.</span> <span>And</span> <span>I</span> <span>mean</span> <span>one.</span> <span>I</span> <span>love</span> <span>the</span> <span>broth</span> <span>don't</span> <span>get</span> <span>me</span> <span>wrong,</span> <span>but</span> <span>there</span> <span>needs</span> <span>to</span> <span>be</span> <span>some</span> <span>sort</span> <span>of</span> <span>reasonable</span> <span>proportion</span> <span>and</span> <span>paying</span> <span>$12</span> <span>for</span> <span>just</span> <span>straight</span> <span>soup</span> <span>and</span> <span>noodles</span> <span>doesn't</span> <span>do</span> <span>it</span> <span>for</span> <span>me.</span> <span class=""active"">Rip</span> <span class=""active"">off,</span> <span>but</span> <span>what</span> <span>other</span> <span>choice</span> <span>do</span> <span>we</span> <span>have?</span> <span>Pho</span> <span>in</span> <span>pittsburgh</span> <span>as</span> <span>a</span> <span>whole</span> <span>is</span> <span>awful.</span> <span></span>"
0,"A case of the least evil. Soup for the pho is great but they really rip you off on the meat.  Last time, i ordered the deluxe, the $12 pho with all of the above expecting what i thought i paid for. One piece of each meat.  And I mean one.  I love the broth don't get me wrong, but there needs to be some sort of reasonable proportion and paying $12 for just straight soup and noodles doesn't do it for me. 

Rip off, but what other choice do we have? Pho in pittsburgh as a whole is awful.",no,"<span>A</span> <span>case</span> <span>of</span> <span>the</span> <span>least</span> <span class=""active"">evil.</span> <span>Soup</span> <span>for</span> <span>the</span> <span>pho</span> <span>is</span> <span>great</span> <span>but</span> <span>they</span> <span>really</span> <span class=""active"">rip</span> <span class=""active"">you</span> <span class=""active"">off</span> <span>on</span> <span>the</span> <span>meat.</span> <span>Last</span> <span>time,</span> <span>i</span> <span>ordered</span> <span>the</span> <span>deluxe,</span> <span>the</span> <span>$12</span> <span>pho</span> <span>with</span> <span>all</span> <span>of</span> <span>the</span> <span>above</span> <span>expecting</span> <span>what</span> <span>i</span> <span>thought</span> <span>i</span> <span>paid</span> <span>for.</span> <span>One</span> <span>piece</span> <span>of</span> <span>each</span> <span>meat.</span> <span>And</span> <span>I</span> <span>mean</span> <span>one.</span> <span>I</span> <span>love</span> <span>the</span> <span>broth</span> <span>don't</span> <span>get</span> <span>me</span> <span>wrong,</span> <span>but</span> <span>there</span> <span>needs</span> <span>to</span> <span>be</span> <span>some</span> <span>sort</span> <span>of</span> <span>reasonable</span> <span>proportion</span> <span>and</span> <span>paying</span> <span>$12</span> <span>for</span> <span>just</span> <span>straight</span> <span>soup</span> <span>and</span> <span>noodles</span> <span>doesn't</span> <span>do</span> <span>it</span> <span>for</span> <span>me.</span> <span class=""active"">Rip</span> <span class=""active"">off,</span> <span>but</span> <span>what</span> <span>other</span> <span>choice</span> <span>do</span> <span>we</span> <span>have?</span> <span>Pho</span> <span>in</span> <span>pittsburgh</span> <span>as</span> <span>a</span> <span>whole</span> <span>is</span> <span>awful.</span> <span></span>"
0,"A case of the least evil. Soup for the pho is great but they really rip you off on the meat.  Last time, i ordered the deluxe, the $12 pho with all of the above expecting what i thought i paid for. One piece of each meat.  And I mean one.  I love the broth don't get me wrong, but there needs to be some sort of reasonable proportion and paying $12 for just straight soup and noodles doesn't do it for me. 

Rip off, but what other choice do we have? Pho in pittsburgh as a whole is awful.",no,"<span>A</span> <span>case</span> <span>of</span> <span>the</span> <span>least</span> <span>evil.</span> <span>Soup</span> <span>for</span> <span>the</span> <span>pho</span> <span>is</span> <span>great</span> <span>but</span> <span class=""active"">they</span> <span class=""active"">really</span> <span class=""active"">rip</span> <span class=""active"">you</span> <span class=""active"">off</span> <span class=""active"">on</span> <span class=""active"">the</span> <span class=""active"">meat.</span> <span>Last</span> <span>time,</span> <span>i</span> <span>ordered</span> <span>the</span> <span>deluxe,</span> <span>the</span> <span>$12</span> <span>pho</span> <span>with</span> <span>all</span> <span>of</span> <span>the</span> <span>above</span> <span>expecting</span> <span>what</span> <span>i</span> <span>thought</span> <span>i</span> <span>paid</span> <span>for.</span> <span>One</span> <span>piece</span> <span>of</span> <span>each</span> <span>meat.</span> <span>And</span> <span>I</span> <span>mean</span> <span>one.</span> <span>I</span> <span>love</span> <span>the</span> <span>broth</span> <span>don't</span> <span>get</span> <span>me</span> <span>wrong,</span> <span>but</span> <span>there</span> <span>needs</span> <span>to</span> <span>be</span> <span>some</span> <span>sort</span> <span>of</span> <span>reasonable</span> <span>proportion</span> <span>and</span> <span>paying</span> <span>$12</span> <span>for</span> <span>just</span> <span>straight</span> <span>soup</span> <span>and</span> <span>noodles</span> <span>doesn't</span> <span>do</span> <span>it</span> <span>for</span> <span>me.</span> <span>Rip</span> <span>off,</span> <span>but</span> <span>what</span> <span>other</span> <span>choice</span> <span>do</span> <span>we</span> <span>have?</span> <span>Pho</span> <span>in</span> <span>pittsburgh</span> <span>as</span> <span>a</span> <span>whole</span> <span>is</span> <span class=""active"">awful.</span> <span></span>"
1,"A colleague tipped me off to Jjanga...and he wasnt kidding! We sat at the bar(imo the only way to eat ayce) and we just let the chefs know what we didn't want, and they went to town! If you do this I think tipping early helps get the best dishes. The sashimi was beautiful, not what you would expect from all you can eat spot. I live in Portland and this place would ruin all places where i live. I may have to come back tomorrow;) 
Dinner was $25.95 and it gives you free reign over the entire menu. Enjoi!",no,"<span>A</span> <span>colleague</span> <span>tipped</span> <span>me</span> <span>off</span> <span>to</span> <span>Jjanga...and</span> <span>he</span> <span>wasnt</span> <span>kidding!</span> <span>We</span> <span>sat</span> <span>at</span> <span>the</span> <span>bar(imo</span> <span>the</span> <span>only</span> <span>way</span> <span>to</span> <span>eat</span> <span>ayce)</span> <span>and</span> <span>we</span> <span>just</span> <span>let</span> <span>the</span> <span>chefs</span> <span>know</span> <span>what</span> <span class=""active"">we</span> <span class=""active"">didn't</span> <span class=""active"">want,</span> <span class=""active"">and</span> <span class=""active"">they</span> <span class=""active"">went</span> <span class=""active"">to</span> <span class=""active"">town!</span> <span>If</span> <span>you</span> <span>do</span> <span>this</span> <span>I</span> <span>think</span> <span>tipping</span> <span>early</span> <span>helps</span> <span>get</span> <span>the</span> <span>best</span> <span>dishes.</span> <span>The</span> <span>sashimi</span> <span>was</span> <span>beautiful,</span> <span class=""active"">not</span> <span class=""active"">what</span> <span class=""active"">you</span> <span class=""active"">would</span> <span class=""active"">expect</span> <span class=""active"">from</span> <span class=""active"">all</span> <span class=""active"">you</span> <span class=""active"">can</span> <span class=""active"">eat</span> <span class=""active"">spot.</span> <span>I</span> <span>live</span> <span>in</span> <span>Portland</span> <span>and</span> <span>this</span> <span>place</span> <span>would</span> <span>ruin</span> <span>all</span> <span>places</span> <span>where</span> <span>i</span> <span>live.</span> <span>I</span> <span>may</span> <span>have</span> <span>to</span> <span>come</span> <span>back</span> <span>tomorrow;)</span> <span>Dinner</span> <span>was</span> <span>$25.95</span> <span>and</span> <span>it</span> <span>gives</span> <span>you</span> <span>free</span> <span>reign</span> <span>over</span> <span>the</span> <span>entire</span> <span>menu.</span> <span>Enjoi!</span> <span></span>"
1,"A colleague tipped me off to Jjanga...and he wasnt kidding! We sat at the bar(imo the only way to eat ayce) and we just let the chefs know what we didn't want, and they went to town! If you do this I think tipping early helps get the best dishes. The sashimi was beautiful, not what you would expect from all you can eat spot. I live in Portland and this place would ruin all places where i live. I may have to come back tomorrow;) 
Dinner was $25.95 and it gives you free reign over the entire menu. Enjoi!",yes,"<span>A</span> <span>colleague</span> <span>tipped</span> <span>me</span> <span>off</span> <span>to</span> <span>Jjanga...and</span> <span>he</span> <span>wasnt</span> <span>kidding!</span> <span>We</span> <span>sat</span> <span>at</span> <span>the</span> <span>bar(imo</span> <span>the</span> <span>only</span> <span>way</span> <span>to</span> <span>eat</span> <span>ayce)</span> <span>and</span> <span>we</span> <span>just</span> <span>let</span> <span>the</span> <span>chefs</span> <span>know</span> <span>what</span> <span>we</span> <span>didn't</span> <span>want,</span> <span>and</span> <span>they</span> <span>went</span> <span>to</span> <span>town!</span> <span>If</span> <span>you</span> <span>do</span> <span>this</span> <span>I</span> <span>think</span> <span>tipping</span> <span>early</span> <span>helps</span> <span>get</span> <span>the</span> <span>best</span> <span>dishes.</span> <span class=""active"">The</span> <span class=""active"">sashimi</span> <span class=""active"">was</span> <span class=""active"">beautiful,</span> <span class=""active"">not</span> <span class=""active"">what</span> <span class=""active"">you</span> <span class=""active"">would</span> <span class=""active"">expect</span> <span class=""active"">from</span> <span class=""active"">all</span> <span class=""active"">you</span> <span class=""active"">can</span> <span class=""active"">eat</span> <span class=""active"">spot.</span> <span>I</span> <span>live</span> <span>in</span> <span>Portland</span> <span>and</span> <span class=""active"">this</span> <span class=""active"">place</span> <span class=""active"">would</span> <span class=""active"">ruin</span> <span class=""active"">all</span> <span class=""active"">places</span> <span class=""active"">where</span> <span class=""active"">i</span> <span class=""active"">live.</span> <span>I</span> <span>may</span> <span>have</span> <span>to</span> <span class=""active"">come</span> <span class=""active"">back</span> <span class=""active"">tomorrow;)</span> <span>Dinner</span> <span>was</span> <span>$25.95</span> <span>and</span> <span>it</span> <span>gives</span> <span>you</span> <span class="""">free</span> <span>reign</span> <span>over</span> <span>the</span> <span>entire</span> <span>menu.</span> <span>Enjoi!</span> <span></span>"
1,"A colleague tipped me off to Jjanga...and he wasnt kidding! We sat at the bar(imo the only way to eat ayce) and we just let the chefs know what we didn't want, and they went to town! If you do this I think tipping early helps get the best dishes. The sashimi was beautiful, not what you would expect from all you can eat spot. I live in Portland and this place would ruin all places where i live. I may have to come back tomorrow;) 
Dinner was $25.95 and it gives you free reign over the entire menu. Enjoi!",yes,"<span>A</span> <span>colleague</span> <span>tipped</span> <span>me</span> <span>off</span> <span>to</span> <span>Jjanga...and</span> <span>he</span> <span>wasnt</span> <span>kidding!</span> <span>We</span> <span>sat</span> <span>at</span> <span>the</span> <span>bar(imo</span> <span>the</span> <span>only</span> <span>way</span> <span>to</span> <span>eat</span> <span>ayce)</span> <span>and</span> <span>we</span> <span>just</span> <span>let</span> <span>the</span> <span>chefs</span> <span>know</span> <span>what</span> <span>we</span> <span>didn't</span> <span>want,</span> <span>and</span> <span>they</span> <span>went</span> <span>to</span> <span>town!</span> <span>If</span> <span>you</span> <span>do</span> <span>this</span> <span>I</span> <span>think</span> <span>tipping</span> <span>early</span> <span>helps</span> <span>get</span> <span>the</span> <span class=""active"">best</span> <span class=""active"">dishes.</span> <span>The</span> <span>sashimi</span> <span>was</span> <span>beautiful,</span> <span>not</span> <span>what</span> <span>you</span> <span>would</span> <span>expect</span> <span>from</span> <span>all</span> <span>you</span> <span>can</span> <span>eat</span> <span>spot.</span> <span>I</span> <span>live</span> <span>in</span> <span>Portland</span> <span>and</span> <span>this</span> <span>place</span> <span>would</span> <span>ruin</span> <span>all</span> <span>places</span> <span>where</span> <span>i</span> <span>live.</span> <span>I</span> <span class=""active"">may</span> <span class=""active"">have</span> <span class=""active"">to</span> <span class=""active"">come</span> <span class=""active"">back</span> <span class=""active"">tomorrow;)</span> <span>Dinner</span> <span>was</span> <span>$25.95</span> <span>and</span> <span>it</span> <span>gives</span> <span>you</span> <span>free</span> <span>reign</span> <span>over</span> <span>the</span> <span>entire</span> <span>menu.</span> <span>Enjoi!</span> <span></span>"
1,"A friend of mine told me about th is place to eat the best shrimp rice.
When I got there with my girls we got greeted at the door, very nice. We sat by the bar a young man very happy and cheerful great us, I made my order of the shrimp rice, some pork dumplings. I ask the cook his name with a smile he said his name was ""Giovanni"" I was impress of this guy ability to cook he made the best shrimp rice. When it came to the bill very affordable I had a great experience. ...AWSOME..",yes,"<span>A</span> <span>friend</span> <span>of</span> <span>mine</span> <span>told</span> <span>me</span> <span>about</span> <span>th</span> <span>is</span> <span>place</span> <span>to</span> <span>eat</span> <span>the</span> <span class=""active"">best</span> <span class=""active"">shrimp</span> <span class=""active"">rice.</span> <span>When</span> <span>I</span> <span>got</span> <span>there</span> <span>with</span> <span>my</span> <span>girls</span> <span>we</span> <span>got</span> <span>greeted</span> <span>at</span> <span>the</span> <span>door,</span> <span class=""active"">very</span> <span class=""active"">nice.</span> <span>We</span> <span>sat</span> <span>by</span> <span>the</span> <span>bar</span> <span>a</span> <span>young</span> <span>man</span> <span class=""active"">very</span> <span class=""active"">happy</span> <span>and</span> <span class=""active"">cheerful</span> <span>great</span> <span>us,</span> <span>I</span> <span>made</span> <span>my</span> <span>order</span> <span>of</span> <span>the</span> <span>shrimp</span> <span>rice,</span> <span>some</span> <span>pork</span> <span>dumplings.</span> <span>I</span> <span>ask</span> <span>the</span> <span>cook</span> <span>his</span> <span>name</span> <span>with</span> <span>a</span> <span class=""active"">smile</span> <span>he</span> <span>said</span> <span>his</span> <span>name</span> <span>was</span> <span>""Giovanni""</span> <span class=""active"">I</span> <span class=""active"">was</span> <span class=""active"">impress</span> <span>of</span> <span>this</span> <span>guy</span> <span>ability</span> <span>to</span> <span>cook</span> <span>he</span> <span>made</span> <span>the</span> <span>best</span> <span>shrimp</span> <span>rice.</span> <span>When</span> <span>it</span> <span>came</span> <span>to</span> <span>the</span> <span>bill</span> <span class=""active"">very</span> <span class=""active"">affordable</span> <span>I</span> <span>had</span> <span>a</span> <span class=""active"">great</span> <span class=""active"">experience.</span> <span class=""active"">...AWSOME..</span> <span></span>"
